Name,Season,Pull-Air AVG,Pull-Air SLG,Straight-Air AVG,Straight-Air SLG,Oppo-Air AVG,Oppo-Air SLG,Pull-GB AVG,Pull-GB SLG,Straight-GB AVG,Straight-GB SLG,Oppo-GB AVG,Oppo-GB SLG,Pull-LD AVG,Pull-LD SLG,Straight-LD AVG,Straight-LD SLG,Oppo-LD AVG,Oppo-LD SLG
Aaron Judge,2025,0.667,2.667,0.409,1.409,0.318,0.924,0.262,0.312,0.467,0.467,0.5,0.5,0.794,1.176,0.757,1.081,0.625,0.688
Aaron Judge,2026,0.7,2.8,0.346,1.077,0.2,0.7,0.147,0.176,0.267,0.267,0.4,0.4,0.917,1.417,0.643,0.929,0.333,0.333
Cal Raleigh,2025,0.505,1.935,0.179,0.59,0.13,0.444,0.219,0.247,0.273,0.273,0.429,0.5,0.759,1.093,0.5,0.8,0.5,0.625
Cal Raleigh,2026,0.364,1.382,0.022,0.022,0.235,0.412,0.164,0.2,0.111,0.111,,,0.611,0.722,0.611,0.833,,
Carlos Narvaez,2025,0.571,2.0,0.245,0.633,0.098,0.268,0.245,0.283,0.125,0.125,0.536,0.607,0.727,1.273,0.619,0.952,0.632,0.895
Carlos Narvaez,2026,0.5,1.5,0.083,0.125,0.095,0.143,0.071,0.071,0.217,0.217,,,0.545,1.0,0.5,0.5,0.692,0.769
George Springer,2025,0.464,1.714,0.371,1.271,0.104,0.208,0.256,0.293,0.292,0.292,0.368,0.368,0.711,0.974,0.75,0.909,0.5,0.778
George Springer,2026,0.429,1.714,0.106,0.383,0.182,0.333,0.221,0.235,0.267,0.267,0.2,0.2,0.769,1.192,0.576,0.758,0.7,1.0
Noelvi Marte,2025,0.333,1.333,0.303,0.909,0.154,0.308,0.288,0.348,0.189,0.189,0.286,0.286,0.667,1.083,0.704,1.0,0.688,0.75
Noelvi Marte,2026,0.286,0.857,0.136,0.545,0.077,0.154,0.3,0.375,0.286,0.286,0.3,0.4,0.5,1.375,0.4,0.4,,
Ramon Laureano,2025,0.5,1.735,0.237,0.711,0.094,0.281,0.288,0.339,0.207,0.207,0.421,0.421,0.821,1.214,0.595,0.811,0.571,1.048
Ramon Laureano,2026,0.545,1.909,0.211,0.632,0.143,0.357,0.2,0.2,0.2,0.2,0.111,0.111,0.625,0.75,0.667,1.0,0.583,0.75
Ronald Acuna Jr.,2025,0.438,1.75,0.333,1.139,0.276,0.759,0.312,0.312,0.365,0.365,0.4,0.4,0.75,1.0,0.76,1.04,0.727,1.091
Ronald Acuna Jr.,2026,0.667,2.167,0.25,1.0,0.135,0.351,0.244,0.267,0.25,0.25,0.308,0.308,0.75,1.0,0.556,0.593,0.4,0.7
TJ Friedl,2025,0.378,1.27,0.071,0.2,0.049,0.049,0.227,0.25,0.411,0.411,0.5,0.5,0.627,0.961,0.589,0.661,0.438,0.562
TJ Friedl,2026,0.25,1.0,0.1,0.233,0.0,0.0,0.114,0.114,0.143,0.143,0.5,0.5,0.571,0.857,0.444,0.556,,
Vladimir Guerrero Jr.,2025,0.5,1.864,0.157,0.471,0.093,0.241,0.26,0.31,0.198,0.198,0.268,0.293,0.769,1.231,0.652,0.985,0.656,0.781
Vladimir Guerrero Jr.,2026,0.2,0.8,0.136,0.227,0.067,0.111,0.309,0.346,0.205,0.218,0.333,0.361,0.654,1.154,0.48,0.68,0.607,0.714
Will Smith,2025,0.435,1.522,0.185,0.648,0.122,0.268,0.34,0.383,0.414,0.414,0.375,0.375,0.824,1.412,0.65,0.825,0.643,0.714
Will Smith,2026,0.0,0.0,0.226,0.645,0.071,0.286,0.238,0.238,0.412,0.412,,,0.571,1.0,0.6,0.68,0.2,0.2
